ID,Target_RMSE,Target_MAE
Kiambu_Week_52,44.401920318603516,44.401920318603516
Kirinyaga_Week_52,46.1730842590332,46.1730842590332
Mombasa_Week_52,41.760128021240234,41.760128021240234
Nairobi_Week_52,42.92435073852539,42.92435073852539
Uasin-Gishu_Week_52,39.81243896484375,39.81243896484375
Kiambu_Week_1,44.401920318603516,44.401920318603516
Kirinyaga_Week_1,46.1730842590332,46.1730842590332
Mombasa_Week_1,41.760128021240234,41.760128021240234
Nairobi_Week_1,42.92435073852539,42.92435073852539
Uasin-Gishu_Week_1,39.81243896484375,39.81243896484375
